path,domain,bytes,lines,kind,scan_signals,sha256
app/src/main/java/com/horsenma/yourtv/models/Sources.kt,main-kotlin,4138,146,text-static-inventory,mutable-state,89df1784322f98477090de4313be27e3910ffbfe7abb6cd147fcb3658c433b18
app/src/main/java/com/horsenma/yourtv/models/TVGroupModel.kt,main-kotlin,12686,379,text-static-inventory,mutable-state,6ba03c26e8aeaf898c8d51ea24c380d7c7870c11478b7726f61f3e142d93d5de
app/src/main/java/com/horsenma/yourtv/models/TVListModel.kt,main-kotlin,4458,174,text-static-inventory,mutable-state,0711be02acfe6689ac5d6e534d468bf123c2669141ce32050dffd9e6e29625fa
app/src/main/java/com/horsenma/yourtv/models/TVModel.kt,main-kotlin,10745,313,text-static-inventory,network;mutable-state;media,71a638d265ebdc30db2258369f11a4d5c9c17da5c18d44d643089066a664c666
app/src/main/java/com/horsenma/yourtv/requests/DnsCache.kt,main-kotlin,1124,41,text-static-inventory,,face8cbf6fab44ad323f2ac4d51cb88a9bebc633c72ae0b4b5cd736632798008
app/src/main/java/com/horsenma/yourtv/requests/HttpClient.kt,main-kotlin,4861,134,text-static-inventory,network;mutable-state,7e346c8670447e2ce6de2c0e28d38746a49ae2593a2396b448258a2873c2bb70
app/src/main/java/com/horsenma/yourtv/requests/Tls12SocketFactory.kt,main-kotlin,2240,74,text-static-inventory,network,7d985bd00e7424a8e631f7aa1bd8e528ecebcfa62bd9e2f5b145db99bab39ff5
app/src/main/res/color/button_selector.xml,resources,456,12,text-static-inventory,network,4ead412a3b1b90147b3dfff51aa12be6313fb9175640361821fde6cc53887fd9
app/src/main/res/color/button_text_color_selector.xml,resources,349,7,text-static-inventory,network,2caaf278a08bedf1e1c3eae372ce33d9ec25930921b1abac05772cd4eee65386
app/src/main/res/color/switch_thumb_color.xml,resources,257,5,text-static-inventory,network,c0455771d78f16597b2184ce7908665914f63a54679a4e8f811f8bfc088f83f2
app/src/main/res/color/switch_track_color.xml,resources,257,5,text-static-inventory,network,48c6291a3b525e49abb73280a78066e9ccc04ecb43e8f026664c7ea7d6df5e78
app/src/main/res/drawable/appreciate.png,resources,80143,,binary-metadata-only,,055f0498cfa4d8a15a6354167e01cf8ca5e5566e8767b68ff89c6c4607e5d679
app/src/main/res/drawable/banner0.png,resources,66589,,binary-metadata-only,,f4bab0c9e630fc8696f68b6c5001f606c9df2d1b56d1d2323a2f0e62ef37da42
app/src/main/res/drawable/baseline_done_24.xml,resources,337,10,text-static-inventory,network,9ca6cada8c795e872cd5b0ec993939d9887a757a83a0661bac48f8daba75faa6
app/src/main/res/drawable/baseline_favorite_24.xml,resources,455,10,text-static-inventory,network,da4df6e89fdfbdbc53c1bfd4c4a648f90dc9764bcb940d64085c1aac789f69d7
app/src/main/res/drawable/baseline_favorite_border_24.xml,resources,642,10,text-static-inventory,network,805c75a95a06dbc0ecfb01aafa6e85d0d2e9b860c64fea4b726bb0ba523ba2f0
app/src/main/res/drawable/baseline_sentiment_dissatisfied_24.xml,resources,903,16,text-static-inventory,network,e037f4e6bd759577385d9e3ee9fe1599ec0c99c0a49d1ab182fcd750799e6828
app/src/main/res/drawable/button_focus_selector.xml,resources,997,21,text-static-inventory,network,dd865ebbc2b288ec9c876a7d7a41bce1159edbde13128221d12be0322a7bbd62
app/src/main/res/drawable/button_scale.xml,resources,899,27,text-static-inventory,network,e95d763a0e87be90174b2ce54c755c5b19d6442b65558e30b7517e1fae898ba9
app/src/main/res/drawable/button_selector.xml,resources,525,16,text-static-inventory,network,706fd415634502baf82c0143fecf6594b0e8d2d2d5f0b5df01f6aa9ade544423
app/src/main/res/drawable/circle_background.xml,resources,211,5,text-static-inventory,network,a4500a2b88218bbd5b2b3056b457fa876dfbb3ac221b5a2742d86c11a303348b
app/src/main/res/drawable/custom_progress_drawable.xml,resources,669,19,text-static-inventory,network,46eb28830887a2211ef618f8981189e9a6418f4f82b9a9b4cda23e809fa1892e
app/src/main/res/drawable/edit_text_border.xml,resources,299,8,text-static-inventory,network,070ddfd338b56d26e5ce7ed1b3ab1c4dcf75497112200d4a1fa7eb6d662a635a
app/src/main/res/drawable/edit_text_border_selector.xml,resources,981,21,text-static-inventory,network,5ea846936e246ca9c77bd59fb3fb951445979ca61bff7ecad6fdf7ce4eeff0e8
app/src/main/res/drawable/focus_background.xml,resources,490,15,text-static-inventory,network,0a95249237690657d598ec9ebdab978cb01dfcbbc0173cc95fed536640be790e
app/src/main/res/drawable/focus_border.xml,resources,659,16,text-static-inventory,network,097a69f5f329d04a7d0d45ca887fbd223d63865a7ea7beb7ba93330eb18d3f5c
